TagID,Latitude,Longitude,Address,Sign,GPS_Latitude,GPS_Longitude,Count,Time
0x123400000000000000000008,unknown,unknown,unknown,unknown,,,-9990,"Fri, 14 Oct 2016 18:28:12 GMT"
0x100000000000000000000018,unknown,unknown,unknown,unknown,,,-9992,"Fri, 14 Oct 2016 18:28:11 GMT"
0xe20021002000535c142a0272,unknown,unknown,unknown,unknown,,,-9991,"Fri, 14 Oct 2016 18:28:11 GMT"
0xe2002100200050c915500272,unknown,unknown,unknown,unknown,,,-9998,"Fri, 14 Oct 2016 18:28:11 GMT"
0xe200210020005945145f0272,unknown,unknown,unknown,unknown,,,-9994,"Fri, 14 Oct 2016 18:28:13 GMT"
0x123400000000000000000007,unknown,unknown,unknown,unknown,,,-9980,"Fri, 14 Oct 2016 18:28:13 GMT"
0xe20021002000578315630272,unknown,unknown,unknown,unknown,,,-9991,"Fri, 14 Oct 2016 18:28:13 GMT"
0x123400000000000000000003,unknown,unknown,unknown,unknown,,,-9988,"Fri, 14 Oct 2016 18:28:13 GMT"
0x100000000000000000000008,unknown,unknown,unknown,unknown,,,-9986,"Fri, 14 Oct 2016 18:28:13 GMT"
0x123400000000000000000006,unknown,unknown,unknown,unknown,,,-9988,"Fri, 14 Oct 2016 18:28:13 GMT"
0x00000000000000000b000465,unknown,unknown,unknown,unknown,,,-10000,"Fri, 14 Oct 2016 18:28:03 GMT"
0xe20021002000564113b30272,unknown,unknown,unknown,unknown,,,-9994,"Fri, 14 Oct 2016 18:28:11 GMT"
0x20160226820b007923602244,unknown,unknown,unknown,unknown,,,-9996,"Fri, 14 Oct 2016 18:28:11 GMT"
0x100000000000000000000019,unknown,unknown,unknown,unknown,,,-9995,"Fri, 14 Oct 2016 18:28:11 GMT"
0xe20021002000508415500272,unknown,unknown,unknown,unknown,,,-9995,"Fri, 14 Oct 2016 18:28:12 GMT"
0x201602269516005814607cb6,unknown,unknown,unknown,unknown,,,-9998,"Fri, 14 Oct 2016 18:28:11 GMT"
0xe200210020005b5c14600272,unknown,unknown,unknown,unknown,,,-9996,"Fri, 14 Oct 2016 18:28:13 GMT"
0x2016a3288212014320603e12,unknown,unknown,unknown,unknown,,,-9998,"Fri, 14 Oct 2016 18:28:11 GMT"
0x08142015098a308000000022,unknown,unknown,unknown,unknown,,,-9998,"Fri, 14 Oct 2016 18:28:09 GMT"
0x2016a328950d01562880010c,unknown,unknown,unknown,unknown,,,-9998,"Fri, 14 Oct 2016 18:28:11 GMT"
0xe200210020005941138a0272,unknown,unknown,unknown,unknown,,,-9997,"Fri, 14 Oct 2016 18:28:13 GMT"
0x08142015098a30800000001a,unknown,unknown,unknown,unknown,,,-10000,"Fri, 14 Oct 2016 18:28:05 GMT"
0x100000000000000000000013,unknown,unknown,unknown,unknown,,,-9999,"Fri, 14 Oct 2016 18:28:11 GMT"
0x123400000000000000000002,unknown,unknown,unknown,unknown,,,-9998,"Fri, 14 Oct 2016 18:28:11 GMT"
0x000000000000000000000002,unknown,unknown,unknown,unknown,,,-9997,"Fri, 14 Oct 2016 18:28:11 GMT"
0xe2003411b802011659050316,unknown,unknown,unknown,unknown,,,-10000,"Fri, 14 Oct 2016 18:28:06 GMT"
0x00000000000000000b000479,unknown,unknown,unknown,unknown,,,-10000,"Fri, 14 Oct 2016 18:28:09 GMT"
